thumb 1-2,thumb 2-3,thumb 3-4,thumb_fore 4-5,fore 5-6,fore 6-7,fore 7-8,fore_middle 8-9,middle 9-10,middle 10-11,middle 11-12,middle_ring 12-13,ring 13 -14,ring 14-15,ring 15-16,ring_pinky 16-17,pinky 17-18,pinky 18-19,pinky 19-20,gesture
1.0,1.1,0.6,-1,1.1,1.1,1.2,0.8,1.3,1.4,1.4,1.1,1.5,1.5,1.4,1.3,1.2,1.3,1.4,hand
0.5,1.5,1.0,0.3,0.6,0.7,0.8,0.4,0.9,0.9,0.9,0.7,1.0,1.0,1.0,0.8,1.5,1.4,1.3,hand
0.4,1.5,1.2,0.5,0.4,0.5,0.5,0.2,0.7,0.7,0.7,0.5,0.9,0.8,0.8,0.6,1.3,1.1,1.1,hand
0.8,1.2,0.7,0.0,0.9,1.0,1.1,0.7,1.2,1.3,1.3,1.0,1.4,1.4,1.4,1.2,1.3,1.3,1.4,hand
0.9,1.2,0.6,-1,1.0,1.1,1.2,0.8,1.2,1.3,1.4,1.0,1.4,1.4,1.4,1.2,1.3,1.4,1.5,hand
0.9,1.1,0.6,0.1,1.1,1.2,1.3,0.9,1.3,1.3,1.4,1.1,1.5,1.4,1.4,1.2,1.3,1.4,-1,hand
0.9,1.1,0.4,0.2,1.2,1.3,1.3,1.0,1.4,1.4,1.4,1.2,1.6,1.5,1.5,1.3,1.1,1.3,1.3,hand
1.0,1.0,0.4,0.2,1.2,1.3,1.3,1.0,1.4,1.5,1.5,1.2,1.5,-1,1.5,1.4,1.1,1.2,1.3,hand
1.1,0.9,0.4,0.3,1.3,1.3,1.4,1.1,1.5,1.5,1.5,1.3,1.5,1.5,1.5,1.4,1.0,1.2,1.3,hand
1.2,0.7,0.2,0.6,1.5,-1,1.5,1.3,1.4,1.4,1.4,1.5,1.2,1.3,1.3,1.5,0.8,1.0,1.1,hand
1.4,0.7,0.0,0.6,1.4,1.4,1.4,1.5,1.3,1.2,1.2,1.5,1.1,1.1,1.1,1.3,0.7,0.8,1.0,hand
1.4,0.7,0.0,0.5,1.5,1.5,1.3,1.4,1.3,1.3,1.2,1.5,1.1,1.1,1.2,1.3,0.7,0.9,1.0,hand
-1,0.5,0.1,0.5,1.3,1.2,1.2,-1,1.1,1.1,1.0,1.3,0.9,1.0,1.1,1.2,0.5,0.7,0.8,hand
0.8,1.5,1.0,0.3,1.1,1.2,1.3,0.9,1.5,1.5,-1,1.3,0.2,1.3,-1,0.6,0.1,1.2,1.5,no hand
0.7,1.3,1.0,0.4,1.1,1.2,1.2,0.9,1.4,1.4,1.5,1.3,1.5,1.4,1.5,1.3,0.7,0.9,1.2,no hand
0.8,1.3,1.0,0.1,1.1,1.1,1.2,0.9,1.4,1.5,1.5,1.3,1.5,1.4,-1,1.3,0.6,0.9,1.3,no hand
0.7,1.6,0.0,0.6,1.1,1.4,0.8,0.8,1.0,1.4,0.7,0.8,1.0,1.5,0.7,0.6,0.8,1.5,0.8,no hand
0.3,0.6,1.0,1.0,1.2,0.1,0.9,0.3,0.4,1.4,0.2,0.9,0.7,1.0,0.2,1.2,0.8,0.9,0.1,no hand
0.3,0.4,1.1,0.9,1.2,0.1,0.9,0.3,0.6,0.2,1.0,0.3,0.5,1.2,0.1,1.1,0.7,0.9,0.0,no hand
0.6,1.0,1.3,0.5,0.3,0.6,1.1,0.4,1.0,0.4,1.2,0.1,0.9,0.9,-1,-1,0.1,0.9,1.4,no hand
0.6,0.6,1.1,0.6,0.6,0.6,1.1,0.3,0.4,0.7,1.3,0.3,0.4,0.9,1.5,0.3,0.1,0.9,1.5,no hand
0.9,1.0,0.9,0.1,1.3,0.2,0.5,0.6,1.5,0.0,0.6,0.7,1.5,0.0,0.6,0.8,1.3,0.1,0.8,no hand
0.8,0.6,0.6,0.4,0.1,1.0,1.3,0.6,-1,1.4,1.3,0.8,0.1,1.4,1.2,0.8,0.1,1.3,1.2,no hand
0.7,1.4,0.9,0.3,1.6,1.0,0.8,1.0,0.6,1.5,-1,0.7,0.4,1.5,0.3,0.7,0.6,1.4,0.6,no hand
0.9,1.2,1.0,0.4,1.2,1.1,1.1,0.8,1.4,0.8,0.1,0.2,1.0,1.5,1.2,1.2,1.2,1.3,1.1,no hand
0.8,1.2,1.0,0.4,1.2,1.1,1.2,0.9,1.5,1.4,1.5,1.2,1.0,0.9,1.2,1.5,0.7,1.2,1.4,no hand
0.9,1.3,1.0,0.2,1.2,1.2,1.2,1.0,1.4,1.4,1.4,1.2,1.3,1.4,1.4,1.5,0.4,0.3,0.4,no hand
0.9,1.2,1.0,0.3,1.2,1.2,1.2,1.0,1.4,1.5,1.4,1.3,1.3,1.3,1.5,1.6,0.4,0.2,0.4,no hand
0.8,1.1,1.1,0.2,1.0,0.1,0.5,0.3,1.1,0.1,0.7,0.3,1.2,0.1,0.6,0.4,1.2,0.1,0.4,no hand
0.8,1.2,1.1,0.2,1.1,1.1,0.9,0.8,1.4,1.2,1.0,1.1,1.5,1.3,1.2,1.2,1.1,1.4,-1,no hand
0.8,1.1,1.0,0.2,1.3,1.4,1.4,1.1,1.5,1.5,-1,1.3,1.3,1.4,1.4,1.6,0.6,0.7,0.8,no hand
0.7,1.0,0.9,0.0,1.0,1.0,1.0,0.8,1.2,1.2,1.2,1.0,1.5,1.5,1.5,1.3,0.9,1.0,1.2,no hand
